consensus_rank,player_name,position,school,final_grade,round_value,consensus_board_mean_rank,consensus_board_rank_std,consensus_board_source_count,formula_score,formula_trait_component,formula_production_component,formula_athletic_component,formula_size_component,formula_context_component,formula_risk_penalty,formula_guardrail_penalty,formula_drift_penalty,formula_hard_cap_penalty,language_adjustment_applied,best_team_fit,variance_flag
344,Devin Mockobee,RB,Purdue Boilermakers,70.15,Round 6-7,342.0,0.0,1,74.18,60.0,66.11,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
345,Caleb Douglas,WR,Texas Tech Red Raiders,70.04,Round 6-7,239.0,41.0,2,76.75,60.0,63.63,70.0,90.0,79.5,1.01,3.17,0.0,0.0,0.0,CLE,high_variance
346,James Thompson Jr.,DT,Illinois Fighting Illini,70.01,Round 6-7,238.0,20.0,2,77.4,60.0,68.55,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,BUF,high_variance
347,Logan Diggs,RB,Mississippi Rebels,70.01,Round 6-7,309.0,0.0,1,74.04,60.0,65.19,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
348,Riley Nowakowski,TE,Indiana Hoosiers,69.89,Round 6-7,226.0,21.0,2,76.96,60.0,68.7,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,IND,high_variance
349,Ephesians Prysock,CB,Washington Huskies,69.82,Round 6-7,172.0,28.28,3,75.22,50.19,68.07,70.0,90.0,79.5,1.26,3.6,0.0,0.0,-0.0241,JAX,high_variance
350,Zavion Thomas,WR,LSU Tigers,69.79,Round 6-7,225.0,51.0,2,77.1,60.0,63.0,70.0,90.0,79.5,1.01,3.17,0.97,0.0,0.0,CLE,high_variance
351,Maverick McIvor,QB,Western Kentucky Hilltoppers,69.69,Round 6-7,341.0,0.0,1,73.18,58.0,68.44,68.0,90.0,79.0,2.85,3.49,0.0,0.0,0.0,LV,high_variance
352,J'Mari Taylor,RB,Virginia Cavaliers,69.64,Round 6-7,183.0,38.0,2,74.38,50.19,67.51,70.0,90.0,79.5,1.01,2.65,0.0,0.0,-0.0241,DAL,high_variance
353,Cyrus Allen,WR,Cincinnati Bearcats,69.62,Round 6-7,234.0,70.0,2,77.77,60.0,66.17,70.0,90.0,79.5,1.01,3.17,1.57,0.0,0.0,CLE,high_variance
354,Luke Altmyer,QB,Illinois Fighting Illini,69.6,Round 6-7,218.5,1.5,2,76.51,58.0,74.24,68.0,90.0,79.0,2.85,3.91,0.0,0.0,0.0,LV,high_variance
355,Al-Jay Henderson,RB,Buffalo Bulls,69.53,Round 6-7,325.0,0.0,1,73.56,60.0,63.0,70.0,90.0,79.5,1.01,4.03,0.0,0.0,0.0,DAL,high_variance
356,Vinny Anthony II,WR,Wisconsin Badgers,69.44,Round 6-7,232.5,11.5,2,76.68,60.0,64.33,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,CLE,medium_variance
357,Logan Fano,EDGE,Utah Utes,69.32,Round 6-7,241.0,5.0,2,76.78,60.0,69.11,70.0,90.0,79.5,1.46,3.87,0.0,0.0,0.0,ATL,medium_variance
358,Mason Reiger,EDGE,Wisconsin Badgers,69.29,Round 6-7,243.5,14.5,2,77.12,60.0,70.08,70.0,90.0,79.5,1.01,4.17,0.0,0.0,0.0,ATL,high_variance
359,Walker Eget,QB,San Jose State Spartans,69.2,Round 6-7,315.0,0.0,1,72.69,58.0,65.93,68.0,90.0,79.0,2.85,3.49,0.0,0.0,0.0,LV,high_variance
360,Justin Jefferson,LB,Alabama,69.18,Round 6-7,242.0,0.0,1,70.63,50.19,63.7,56.25,90.0,79.5,1.01,1.43,0.0,0.0,-0.0241,LAR,high_variance
361,George Gumbs Jr.,EDGE,Florida Gators,69.15,Round 6-7,275.0,103.0,2,79.02,60.0,65.9,78.0,90.0,80.0,0.44,3.17,2.7,0.0,0.0,ATL,medium_variance
362,Dametrious Crownover,OT,Texas A&M Aggies,69.07,Round 6-7,153.0,44.14,3,74.38,50.21,63.02,70.0,90.0,79.5,1.01,4.0,0.0,0.0,-0.0278,LAR,high_variance
363,Eric O'Neill,EDGE,Rutgers Scarlet Knights,68.93,Round 6-7,264.0,19.0,2,76.8,60.0,67.99,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,ATL,high_variance
364,Grayson James,QB,Boston College Eagles,68.81,Round 6-7,308.0,0.0,1,72.3,58.0,64.0,68.0,90.0,79.0,2.85,3.49,0.0,0.0,0.0,LV,high_variance
365,Rayshaun Benny,DT,Michigan Wolverines,68.8,Round 6-7,166.0,41.72,3,74.45,50.19,69.0,70.0,90.0,79.5,1.01,4.0,0.0,0.0,-0.0241,BUF,high_variance
366,TJ Hall,CB,Iowa Hawkeyes,68.74,Round 6-7,186.67,30.91,3,74.93,50.19,69.37,70.0,90.0,79.5,1.26,4.0,0.0,0.0,-0.0241,JAX,high_variance
367,Josh Cameron,WR,Baylor Bears,68.69,Round 6-7,164.33,35.18,3,74.29,50.19,65.98,70.0,90.0,79.5,1.01,4.0,0.0,0.0,-0.0241,CLE,high_variance
368,Hank Beatty,WR,Illinois Fighting Illini,68.37,Round 6-7,283.5,4.5,2,76.54,60.0,71.01,70.0,90.0,79.5,1.01,4.17,0.0,0.0,0.0,CLE,medium_variance
369,Jalen Catalon,S,Missouri Tigers,68.3,Round 6-7,271.5,33.5,2,76.17,60.0,66.57,70.0,90.0,79.5,1.26,3.87,0.0,0.0,0.0,MIA,high_variance
370,Jeadyn Lukus,CB,Clemson Tigers,68.18,Round 6-7,256.5,24.5,2,76.05,60.0,63.0,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,JAX,high_variance
371,Eric Gentry,LB,USC Trojans,68.15,Round 6-7,241.5,30.5,2,76.26,60.0,67.17,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,high_variance
372,Jalen Huskey,S,Maryland Terrapins,68.11,Round 6-7,266.0,40.0,2,76.28,60.0,71.25,70.0,90.0,79.5,1.26,4.17,0.0,0.0,0.0,MIA,high_variance
373,Keyshawn James-Newby,EDGE,New Mexico Lobos,68.08,Round 6-7,302.0,41.0,2,76.72,60.0,71.85,70.0,90.0,79.5,1.01,3.77,0.87,0.0,0.0,ATL,high_variance
374,Chris McClellan,DT,Missouri Tigers,68.08,Round 6-7,194.0,110.99,3,74.96,50.19,69.0,78.0,90.0,80.0,0.44,4.5,0.0,0.0,-0.0241,BUF,medium_variance
375,Micah Morris,IOL,Georgia Bulldogs,68.04,Round 6-7,274.0,25.0,2,75.91,60.0,66.57,70.0,90.0,79.5,1.01,3.87,0.0,0.0,0.0,DET,high_variance
376,Cole Brevard,DT,Texas Longhorns,68.01,Round 6-7,261.0,94.0,2,77.55,60.0,67.49,70.0,90.0,79.5,1.01,3.17,2.37,0.0,0.0,BUF,high_variance
377,Noah Whittington,RB,Oregon Ducks,67.9,UDFA,269.0,8.0,2,76.07,60.0,71.81,70.0,90.0,79.5,1.01,4.17,0.0,0.0,0.0,DAL,medium_variance
378,Josh Moten,CB,Southern Miss Golden Eagles,67.62,UDFA,297.5,62.5,2,76.61,60.0,69.65,70.0,90.0,79.5,1.26,3.47,1.52,0.0,0.0,JAX,high_variance
379,Landon Robinson,DT,Navy Midshipmen,67.54,UDFA,264.0,29.0,2,76.04,60.0,69.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,BUF,high_variance
380,Kobe Baynes,IOL,Kansas Jayhawks,67.41,UDFA,263.0,111.0,2,77.48,60.0,67.77,70.0,90.0,79.5,1.01,3.17,2.9,0.0,0.0,DET,high_variance
381,Desmond Reid,RB,Pittsburgh Panthers,67.36,UDFA,277.0,98.0,2,76.66,60.0,68.99,70.0,90.0,79.5,1.01,2.77,2.53,0.0,0.0,DAL,high_variance
382,Carsen Ryan,TE,BYU Cougars,67.3,UDFA,310.0,37.0,2,76.24,60.0,70.99,70.0,90.0,79.5,1.01,4.17,0.77,0.0,0.0,IND,high_variance
383,Brandon Cleveland,DT,North Carolina State Wolfpack,67.27,UDFA,287.0,7.0,2,75.77,60.0,67.38,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,BUF,medium_variance
384,Scooby Williams,LB,Texas A&M Aggies,67.27,UDFA,282.0,16.0,2,75.77,60.0,69.18,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,high_variance
385,Ceyair Wright,CB,Nebraska Cornhuskers,67.22,UDFA,261.0,46.0,2,75.99,60.0,63.22,70.0,90.0,79.5,1.26,3.87,0.9,0.0,0.0,JAX,high_variance
386,Gary Smith III,DT,UCLA Bruins,67.19,UDFA,310.5,23.5,2,75.69,60.0,68.25,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,BUF,high_variance
387,Cameron Ball,DT,Arkansas Razorbacks,67.1,UDFA,272.0,24.0,2,75.6,60.0,66.99,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,BUF,high_variance
388,Jackie Marshall,EDGE,Baylor Bears,67.09,UDFA,352.5,40.5,2,76.57,60.0,63.7,78.0,90.0,80.0,0.44,4.5,0.98,0.0,0.0,ATL,medium_variance
389,Jalen Walthall,WR,Incarnate Word,67.04,UDFA,221.5,215.5,2,74.7,46.99,63.0,70.0,90.0,79.5,1.23,1.17,3.4,0.0,-0.0064,CLE,high_variance
390,Riley Mahlman,OT,Wisconsin Badgers,67.02,UDFA,259.0,8.0,2,75.52,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,medium_variance
391,Joe Fagnano,QB,Connecticut Huskies,66.92,UDFA,299.0,39.0,2,75.35,58.0,76.0,68.0,90.0,79.0,2.85,3.41,1.02,0.0,0.0,LV,high_variance
392,Nolan Rucci,OT,Penn State,66.85,UDFA,286.5,93.5,2,77.42,60.0,68.35,70.0,90.0,79.5,1.01,3.17,3.4,0.0,0.0,LAR,high_variance
393,Colbie Young,WR,Georgia Bulldogs,66.82,UDFA,340.5,7.5,2,75.32,60.0,67.35,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,CLE,medium_variance
394,Jack Pyburn,EDGE,LSU Tigers,66.55,UDFA,335.0,31.0,2,75.05,60.0,67.6,70.0,90.0,79.5,1.46,4.5,0.0,0.0,0.0,ATL,high_variance
395,Adam Randall,RB,Clemson Tigers,66.51,UDFA,247.0,50.0,2,74.76,60.0,65.92,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,DAL,high_variance
396,Owen Heinecke,LB,Oklahoma Sooners,66.5,UDFA,295.0,91.0,2,76.74,60.0,68.44,70.0,90.0,79.5,1.01,3.87,2.37,0.0,0.0,LAR,high_variance
397,Wesley Bissainthe,LB,Miami (FL) Hurricanes,66.44,UDFA,309.0,13.0,2,74.94,60.0,65.43,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,medium_variance
398,Jaden Dugger,LB,Louisiana Ragin' Cajuns,66.4,UDFA,299.0,11.0,2,74.9,60.0,65.11,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,medium_variance
399,Behren Morton,QB,Texas Tech Red Raiders,66.31,UDFA,300.0,17.0,2,74.22,58.0,71.84,68.0,90.0,79.0,2.85,3.91,0.0,0.0,0.0,LV,high_variance
400,Chip Trayanum,RB,Toledo Rockets,66.25,UDFA,293.5,38.5,2,75.5,60.0,69.02,70.0,90.0,79.5,1.01,4.5,0.75,0.0,0.0,DAL,high_variance
401,Deven Eastern,DT,Minnesota Golden Gophers,66.17,UDFA,215.5,6.5,2,73.39,50.19,66.11,70.0,90.0,79.5,1.01,4.27,0.0,0.0,-0.0241,BUF,medium_variance
402,Athan Kaliakmanis,QB,Rutgers Scarlet Knights,66.17,UDFA,317.5,54.5,2,75.25,58.0,76.0,68.0,90.0,79.0,2.85,3.41,1.67,0.0,0.0,LV,high_variance
403,Diego Pounds,OT,Mississippi Rebels,66.17,UDFA,293.5,8.5,2,74.67,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,medium_variance
404,Patrick Payton,EDGE,LSU,66.16,UDFA,239.0,2.0,2,76.97,60.0,66.58,70.0,90.0,79.5,1.46,3.87,3.4,0.0,0.0,ATL,medium_variance
405,Damonic Williams,DT,Oklahoma Sooners,66.14,UDFA,342.0,22.0,2,74.64,60.0,63.7,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,BUF,high_variance
406,Tristan Leigh,OT,Clemson Tigers,66.14,UDFA,290.5,56.5,2,74.64,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,LAR,high_variance
407,DJ Harvey,CB,USC Trojans,66.13,UDFA,280.0,74.0,2,75.8,60.0,63.0,70.0,90.0,79.5,1.26,3.87,1.8,0.0,0.0,JAX,high_variance
408,RJ Maryland,TE,SMU,66.1,UDFA,278.0,9.0,2,74.6,60.0,63.0,70.0,89.4,79.5,1.01,4.5,0.0,0.0,0.0,IND,medium_variance
409,Isaiah Nwokobia,S,SMU Mustangs,66.03,UDFA,290.0,109.0,2,76.1,60.0,64.02,70.0,90.0,79.5,1.26,3.17,2.9,0.0,0.0,MIA,high_variance
410,Diego Pavia,QB,Vanderbilt Commodores,66.01,UDFA,308.0,68.0,2,75.57,58.0,76.0,68.0,90.0,79.0,2.85,3.41,2.15,0.0,0.0,LV,high_variance
411,Caullin Lacy,WR,Louisville Cardinals,66.0,UDFA,302.0,5.0,2,74.5,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,CLE,medium_variance
412,Austin Brown,S,Wisconsin Badgers,65.91,UDFA,301.5,11.5,2,74.41,60.0,63.0,70.0,90.0,79.5,1.26,4.5,0.0,0.0,0.0,MIA,medium_variance
413,Seydou Traore,TE,Mississippi State Bulldogs,65.88,UDFA,296.5,54.5,2,75.0,60.0,63.0,70.0,90.0,79.5,1.01,3.87,1.25,0.0,0.0,IND,high_variance
414,DQ Smith,S,South Carolina Gamecocks,65.86,UDFA,325.5,14.5,2,74.36,60.0,63.76,70.0,90.0,79.5,1.26,4.5,0.0,0.0,0.0,MIA,high_variance
415,Caden Barnett,IOL,Wyoming Cowboys,65.8,UDFA,310.0,40.0,2,75.17,60.0,66.21,70.0,90.0,79.5,1.01,4.5,0.87,0.0,0.0,DET,high_variance
416,Jaylon Guilbeau,CB,Texas Longhorns,65.8,UDFA,319.5,11.5,2,74.3,60.0,63.0,70.0,90.0,79.5,1.26,4.5,0.0,0.0,0.0,JAX,medium_variance
417,Miles Kitselman,TE,Tennessee Volunteers,65.78,UDFA,280.5,129.5,2,76.35,60.0,63.0,70.0,90.0,79.5,1.01,3.17,3.4,0.0,0.0,IND,high_variance
418,Bauer Sharp,TE,LSU Tigers,65.7,UDFA,326.0,1.0,2,74.2,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,IND,medium_variance
419,Noah Thomas,WR,Georgia Bulldogs,65.62,UDFA,292.5,91.5,2,75.87,60.0,63.0,70.0,90.0,79.5,1.01,3.87,2.38,0.0,0.0,CLE,high_variance
420,Dillon Wade,IOL,Auburn Tigers,65.57,UDFA,327.0,8.0,2,74.07,60.0,63.0,70.0,90.0,79.5,1.01,4.5,0.0,0.0,0.0,DET,medium_variance
421,Sawyer Robertson,QB,Baylor Bears,65.56,UDFA,183.33,28.76,3,72.46,50.19,67.44,68.0,90.0,79.0,2.85,4.8,0.0,0.0,-0.0241,LV,high_variance
422,VJ Payne,S,Kansas State Wildcats,65.41,UDFA,226.0,38.0,2,73.14,50.2,66.38,70.0,90.0,79.5,1.26,4.5,0.0,0.0,-0.0259,MIA,high_variance
423,Harrison Wallace III,WR,Mississippi Rebels,65.4,UDFA,345.0,53.0,2,75.23,60.0,66.51,70.0,90.0,79.5,1.01,4.5,1.33,0.0,0.0,CLE,high_variance
424,Trebor Pena,WR,Penn State Nittany Lions,65.3,UDFA,344.5,96.5,2,75.85,60.0,66.82,70.0,90.0,79.5,1.01,3.87,2.68,0.0,0.0,CLE,high_variance
425,Lake McRee,TE,USC Trojans,65.25,UDFA,304.0,96.0,2,75.69,60.0,64.43,70.0,90.0,79.5,1.01,3.87,2.57,0.0,0.0,IND,high_variance
426,Keyron Crawford,EDGE,Auburn Tigers,65.21,UDFA,183.0,97.7,3,71.8,46.08,68.49,70.0,90.0,79.5,1.46,4.5,0.0,0.0,-0.0259,ATL,high_variance
427,Ethan Onianwa,IOL,Ohio State Buckeyes,65.2,UDFA,305.5,76.5,2,75.02,60.0,63.0,70.0,90.0,79.5,1.01,3.87,1.95,0.0,0.0,DET,high_variance
428,Micah Pettus,OT,Florida State Seminoles,65.17,UDFA,352.0,67.0,2,75.47,60.0,66.88,70.0,90.0,79.5,1.01,4.5,1.8,0.0,0.0,LAR,high_variance
429,Jerry Wilson,CB,Florida State Seminoles,65.14,UDFA,329.0,73.0,2,75.54,60.0,65.34,70.0,90.0,79.5,1.01,4.5,1.9,0.0,0.0,JAX,high_variance
430,Jeremiah Wright,IOL,Auburn Tigers,65.01,UDFA,233.5,52.5,2,72.6,50.19,64.59,70.0,90.0,79.5,1.01,4.17,0.0,0.0,-0.0241,DET,high_variance
431,Joshua Braun,IOL,Kentucky Wildcats,64.84,UDFA,318.5,82.5,2,74.89,60.0,63.0,70.0,90.0,79.5,1.01,3.87,2.18,0.0,0.0,DET,high_variance
432,CJ Donaldson,RB,Ohio State Buckeyes,64.83,UDFA,335.0,35.0,2,74.1,60.0,65.88,70.0,90.0,79.5,1.01,4.5,0.77,0.0,0.0,DAL,high_variance
433,Dillon Bell,WR,Georgia Bulldogs,64.8,UDFA,322.5,68.5,2,75.05,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.75,0.0,0.0,CLE,high_variance
434,Ben Bell,EDGE,Virginia Tech Hokies,64.7,UDFA,360.0,84.0,2,75.53,60.0,66.85,70.0,90.0,79.5,1.01,4.5,2.33,0.0,0.0,ATL,high_variance
435,Squirrel White,WR,Florida State Seminoles,64.66,UDFA,340.5,56.5,2,74.61,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.45,0.0,0.0,CLE,high_variance
436,Garrett DiGiorgio,IOL,UCLA Bruins,64.6,UDFA,356.0,21.0,2,74.17,60.0,64.07,70.0,90.0,79.5,1.01,4.5,1.07,0.0,0.0,DET,high_variance
437,Xavier Nwankpa,S,Iowa,64.51,UDFA,248.5,25.5,2,76.2,60.0,65.16,70.0,90.0,79.5,1.26,4.5,3.4,0.0,0.0,MIA,high_variance
438,Fernando Carmona,IOL,Arkansas Razorbacks,64.5,UDFA,241.0,54.0,2,72.62,50.19,66.21,70.0,90.0,79.5,1.01,4.5,0.0,0.0,-0.0241,DET,high_variance
439,Terion Stewart,RB,Virginia Tech Hokies,64.43,UDFA,321.5,116.5,2,75.52,60.0,66.84,70.0,90.0,79.5,1.01,3.87,3.22,0.0,0.0,DAL,high_variance
440,Jamal Haynes,RB,Georgia Tech Yellow Jackets,64.38,UDFA,310.0,51.0,2,74.08,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.2,0.0,0.0,DAL,high_variance
441,Avery Smith,CB,Toledo Rockets,64.35,UDFA,375.5,32.5,2,74.57,60.0,65.19,70.0,90.0,79.5,1.26,4.5,1.72,0.0,0.0,JAX,high_variance
442,Tyreek Chappell,CB,Texas A&M Aggies,64.33,UDFA,342.0,98.0,2,74.93,60.0,63.0,70.0,90.0,79.5,1.26,3.87,2.73,0.0,0.0,JAX,high_variance
443,Dean Connors,RB,Houston Cougars,64.33,UDFA,347.5,66.5,2,74.58,60.0,67.3,70.0,90.0,79.5,1.01,4.5,1.75,0.0,0.0,DAL,high_variance
444,Tomas Rimac,IOL,Virginia Tech Hokies,64.32,UDFA,330.5,64.5,2,74.47,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.65,0.0,0.0,DET,high_variance
445,Mark Gronowski,QB,Iowa Hawkeyes,64.32,UDFA,354.0,40.0,2,73.25,58.0,69.4,68.0,90.0,79.0,2.85,3.66,1.27,0.0,0.0,LV,high_variance
446,Izavion Miller,IOL,Auburn Tigers,64.23,UDFA,360.0,43.0,2,73.93,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.2,0.0,0.0,DET,high_variance
447,Josh Thompson,IOL,LSU Tigers,64.13,UDFA,355.0,52.0,2,73.96,60.0,63.0,70.0,90.0,79.5,1.01,4.5,1.33,0.0,0.0,DET,high_variance
448,Ahmaad Moses,S,SMU Mustangs,64.08,UDFA,378.0,54.0,2,74.38,60.0,64.82,70.0,90.0,79.5,1.26,4.5,1.8,0.0,0.0,MIA,high_variance
449,Rahsul Faison,RB,South Carolina Gamecocks,64.07,UDFA,319.0,106.0,2,74.84,60.0,64.05,70.0,90.0,79.5,1.01,3.87,2.9,0.0,0.0,DAL,high_variance
450,Luke Petitbon,IOL,Florida State Seminoles,64.07,UDFA,364.5,82.5,2,74.89,60.0,66.52,70.0,90.0,79.5,1.01,4.5,2.32,0.0,0.0,DET,high_variance
451,Davion Carter,IOL,Texas Tech Red Raiders,64.01,UDFA,361.5,83.5,2,74.83,60.0,65.94,70.0,90.0,79.5,1.01,4.5,2.32,0.0,0.0,DET,high_variance
452,Jaren Kanak,TE,Oklahoma Sooners,63.99,UDFA,337.0,80.0,2,74.66,60.0,63.0,70.0,90.0,79.5,1.01,4.5,2.17,0.0,0.0,IND,high_variance
453,Tanner Arkin,TE,Illinois Fighting Illini,63.71,UDFA,377.5,43.5,2,73.99,60.0,63.13,70.0,90.0,79.5,1.01,4.5,1.78,0.0,0.0,IND,high_variance
454,Jake Retzlaff,QB,Tulane Green Wave,63.47,UDFA,347.0,95.0,2,74.45,58.0,72.07,68.0,90.0,79.0,2.85,3.66,3.32,0.0,0.0,LV,high_variance
455,Jack Velling,TE,Michigan State Spartans,63.47,UDFA,362.5,83.5,2,74.29,60.0,63.0,70.0,90.0,79.5,1.01,4.5,2.32,0.0,0.0,IND,high_variance
456,Bryce Foster,IOL,Kansas,63.41,UDFA,343.0,68.0,2,75.31,60.0,65.01,70.0,90.0,79.5,1.01,4.5,3.4,0.0,0.0,DET,high_variance
457,Connor Tollison,IOL,Missouri,63.36,UDFA,277.5,24.5,2,75.26,60.0,63.0,70.0,90.0,79.5,1.01,4.5,3.4,0.0,0.0,DET,high_variance
458,Kyron Drones,QB,Virginia Tech Hokies,61.53,UDFA,352.5,90.5,2,72.61,58.0,64.0,68.0,90.0,79.0,2.85,3.91,3.17,0.0,0.0,LV,high_variance
459,Xavian Sorey Jr.,LB,Arkansas Razorbacks,55.0,UDFA,226.0,7.0,2,62.12,50.2,63.7,0.0,90.0,80.0,0.44,4.27,0.0,0.0,-0.0259,LAR,medium_variance
