round	pick	overall_pick	team	original_pick_owner	acquired_via	player_name	position	school	final_grade	round_value	team_athletic_bias_enabled	team_athletic_fit_modifier	team_athletic_target_ras	player_athletic_proxy	player_athletic_source	team_athletic_tier	team_athletic_bias_reason	scouting_note_paragraph	core_stat_name	core_stat_value	best_role	best_scheme_fit	consensus_rank	historical_combine_comp_1	historical_combine_comp_1_year	historical_combine_comp_1_similarity
1	16	16	NYJ	IND	NYJ g IND (A Gardner)	Makai Lemon	WR	USC Trojans	81.66	Round 2-3	1	-0.015	7.2	6.83	formula_athletic_component	A Athlete-lean	delta_-0.37	Pick 16: NYJ selects Makai Lemon (WR, USC Trojans). Our model grades him at 81.66 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 14 (multi-board mean 11.4). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.0, production 91.5, athletic 89.1, size 90.0, and context 88.5, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (87.29). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	87.29	Alignment-flexible target earner	spread_vertical	14			
1	17	17	DET	DET		Keldric Faulk	EDGE	Auburn	81.12	Round 2-3	1	0.015	6.87	7.08	formula_athletic_component	D Film/production-tolerant	delta_0.21	Pick 17: DET selects Keldric Faulk (EDGE, Auburn). Our model grades him at 81.12 with a Round 2-3 projection and projects his best early NFL path as 'Three-down pressure creator' in a multiple_front_pass_rush environment. The player sits at consensus rank 24 (multi-board mean 18.8). Role fit: Three-down pressure creator. Preferred usage in multiple_front_pass_rush. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.8, production 91.4, athletic 90.0, size 90.0, and context 89.0, with a risk penalty of 1.5. Unique differentiator: Disruption Conversion Score (88.49). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at EDGE. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Disruption Conversion Score	88.49	Three-down pressure creator	multiple_front_pass_rush	24			
1	18	18	MIN	MIN		Caleb Banks	DT	Florida Gators	80.81	Round 2-3	1	0.045	6.7	8.74	formula_athletic_component	D Film/production-tolerant	delta_2.04	Pick 18: MIN selects Caleb Banks (DT, Florida Gators). Our model grades him at 80.81 with a Round 2-3 projection and projects his best early NFL path as 'Early-down anchor with interior rush upside' in a one_gap_attack environment. The player sits at consensus rank 30 (multi-board mean 27.6). Role fit: Early-down anchor with interior rush upside. Preferred usage in one_gap_attack. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 93.1, production 91.0, athletic 87.8, size 90.0, and context 88.0, with a risk penalty of 1.5. Unique differentiator: Interior Shock Index (85.67). Historical combine comp: Jay Bromley (2014), similarity 98.55. This addresses a major secondary need at DT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Interior Shock Index	85.67	Early-down anchor with interior rush upside	one_gap_attack	30	Jay Bromley	2014	98.55
1	19	19	CAR	CAR		Denzel Boston	WR	Washington	81.43	Round 2-3	1	0.0	7.18	7.01	formula_athletic_component	B Balanced-athletic	delta_-0.17	Pick 19: CAR selects Denzel Boston (WR, Washington). Our model grades him at 81.43 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 17 (multi-board mean 20.8). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 93.7, production 91.2, athletic 89.6, size 89.3, and context 88.2, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (86.64). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	86.64	Alignment-flexible target earner	spread_vertical	17			
1	20	20	DAL	GB	DAL g GB (M Parsons)	Christen Miller	DT	Georgia Bulldogs	81.1	Round 2-3	1	-0.015	7.23	6.82	formula_athletic_component	A Athlete-lean	delta_-0.41	Pick 20: DAL selects Christen Miller (DT, Georgia Bulldogs). Our model grades him at 81.10 with a Round 2-3 projection and projects his best early NFL path as 'Early-down anchor with interior rush upside' in a one_gap_attack environment. The player sits at consensus rank 25 (multi-board mean 39.4). Role fit: Early-down anchor with interior rush upside. Preferred usage in one_gap_attack. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 92.2, production 90.1, athletic 86.8, size 90.0, and context 87.3, with a risk penalty of 1.5. Unique differentiator: Interior Shock Index (83.62). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at DT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Interior Shock Index	83.62	Early-down anchor with interior rush upside	one_gap_attack	25			
1	21	21	PIT	PIT		Kayden McDonald	DT	Ohio State Buckeyes	80.9	Round 2-3	1	0.0	6.71	6.82	formula_athletic_component	C Balanced	delta_0.11	Pick 21: PIT selects Kayden McDonald (DT, Ohio State Buckeyes). Our model grades him at 80.90 with a Round 2-3 projection and projects his best early NFL path as 'Early-down anchor with interior rush upside' in a one_gap_attack environment. The player sits at consensus rank 28 (multi-board mean 29.2). Role fit: Early-down anchor with interior rush upside. Preferred usage in one_gap_attack. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 92.9, production 90.7, athletic 87.5, size 90.0, and context 87.8, with a risk penalty of 1.5. Unique differentiator: Interior Shock Index (85.11). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at DT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Interior Shock Index	85.11	Early-down anchor with interior rush upside	one_gap_attack	28			
1	22	22	LAC	LAC		Emmanuel McNeil-Warren	S	Toledo Rockets	81.7	Round 2-3	1	0.0	6.89	6.8	formula_athletic_component	C Balanced	delta_-0.09	Pick 22: LAC selects Emmanuel McNeil-Warren (S, Toledo Rockets). Our model grades him at 81.70 with a Round 2-3 projection and projects his best early NFL path as 'Coverage-adjustment back-end starter' in a split_safety_multiplicity environment. The player sits at consensus rank 13 (multi-board mean 26.4). Role fit: Coverage-adjustment back-end starter. Preferred usage in split_safety_multiplicity. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 91.8, production 89.8, athletic 86.5, size 90.0, and context 87.0, with a risk penalty of 1.5. Unique differentiator: Conflict Resolver Index (82.88). Historical combine comp: pending until more verified testing metrics are available. This is a value-first board play rather than a strict top-need selection. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Conflict Resolver Index	82.88	Coverage-adjustment back-end starter	split_safety_multiplicity	13			
1	23	23	PHI	PHI		Zion Young	EDGE	Missouri Tigers	80.98	Round 2-3	1	-0.03	7.47	6.92	formula_athletic_component	A Athlete-lean	delta_-0.55	Pick 23: PHI selects Zion Young (EDGE, Missouri Tigers). Our model grades him at 80.98 with a Round 2-3 projection and projects his best early NFL path as 'Three-down pressure creator' in a multiple_front_pass_rush environment. The player sits at consensus rank 27 (multi-board mean 41.2). Role fit: Three-down pressure creator. Preferred usage in multiple_front_pass_rush. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 91.5, production 89.0, athletic 85.7, size 90.0, and context 86.3, with a risk penalty of 1.5. Unique differentiator: Disruption Conversion Score (81.35). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at EDGE. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Disruption Conversion Score	81.35	Three-down pressure creator	multiple_front_pass_rush	27			
1	24	24	CLE	JAX	CLE g JAX (2025 Draft Trade)	Nyck Harbor	WR	South Carolina	81.4	Round 2-3	1	0.03	6.13	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.7	Pick 24: CLE selects Nyck Harbor (WR, South Carolina). Our model grades him at 81.40 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 18 (multi-board mean 8.0). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 92.4, production 90.0, athletic 87.4, size 90.0, and context 87.2, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (83.76). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	83.76	Alignment-flexible target earner	spread_vertical	18			
1	25	25	CHI	CHI		Caleb Lomu	OT	Utah	80.43	Round 2-3	1	-0.03	7.46	6.75	formula_athletic_component	B Balanced-athletic	delta_-0.71	Pick 25: CHI selects Caleb Lomu (OT, Utah). Our model grades him at 80.43 with a Round 2-3 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 32 (multi-board mean 21.83). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.8, production 91.1, athletic 88.6, size 89.0, and context 88.8, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (87.69). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	87.69	Starting tackle with pass-pro floor	zone_power_hybrid	32			
1	26	26	BUF	BUF		Dillon Thieneman	S	Oregon	81.66	Round 2-3	1	0.015	6.63	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.2	Pick 26: BUF selects Dillon Thieneman (S, Oregon). Our model grades him at 81.66 with a Round 2-3 projection and projects his best early NFL path as 'Coverage-adjustment back-end starter' in a split_safety_multiplicity environment. The player sits at consensus rank 15 (multi-board mean 32.6). Role fit: Coverage-adjustment back-end starter. Preferred usage in split_safety_multiplicity. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 79.3, production 77.3, athletic 73.2, size 90.0, and context 76.7, with a risk penalty of 2.3. Unique differentiator: Conflict Resolver Index (55.24). Historical combine comp: pending until more verified testing metrics are available. This fills a meaningful tertiary need at S while preserving value. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Conflict Resolver Index	55.24	Coverage-adjustment back-end starter	split_safety_multiplicity	15			
1	27	27	SF	SF		Spencer Fano	OT	Utah	80.13	Round 2-3	1	-0.03	7.4	6.67	formula_athletic_component	C Balanced	delta_-0.73	Pick 27: SF selects Spencer Fano (OT, Utah). Our model grades him at 80.13 with a Round 2-3 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 38 (multi-board mean 12.2). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 87.1, production 83.9, athletic 80.3, size 89.3, and context 82.5, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (70.94). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	70.94	Starting tackle with pass-pro floor	zone_power_hybrid	38			
1	28	28	HOU	HOU		Skyler Bell	WR	Connecticut Huskies	81.34	Round 2-3	1	0.03	6.31	6.83	formula_athletic_component	D Film/production-tolerant	delta_0.52	Pick 28: HOU selects Skyler Bell (WR, Connecticut Huskies). Our model grades him at 81.34 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 19 (multi-board mean 90.67). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 88.6, production 86.4, athletic 83.3, size 90.0, and context 84.0, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (75.39). Historical combine comp: pending until more verified testing metrics are available. This addresses a major secondary need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	75.39	Alignment-flexible target earner	spread_vertical	19			
1	29	29	LAR	LAR		C.J. Allen	LB	Georgia	81.54	Round 2-3	1	-0.015	7.0	6.78	formula_athletic_component	C Balanced	delta_-0.22	Pick 29: LAR selects C.J. Allen (LB, Georgia). Our model grades him at 81.54 with a Round 2-3 projection and projects his best early NFL path as 'Run-and-hit communicator' in a match_zone_blitz environment. The player sits at consensus rank 16 (multi-board mean 28.0). Role fit: Run-and-hit communicator. Preferred usage in match_zone_blitz. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 92.1, production 89.3, athletic 86.5, size 90.0, and context 87.2, with a risk penalty of 1.5. Unique differentiator: Trigger Range Index (83.09). Historical combine comp: pending until more verified testing metrics are available. This fills a meaningful tertiary need at LB while preserving value. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Trigger Range Index	83.09	Run-and-hit communicator	match_zone_blitz	16			
1	30	30	DEN	DEN		Jordyn Tyson	WR	Arizona State	81.22	Round 2-3	1	0.0	6.86	6.79	formula_athletic_component	B Balanced-athletic	delta_-0.07	Pick 30: DEN selects Jordyn Tyson (WR, Arizona State). Our model grades him at 81.22 with a Round 2-3 projection and projects his best early NFL path as 'Alignment-flexible target earner' in a spread_vertical environment. The player sits at consensus rank 22 (multi-board mean 12.33). Role fit: Alignment-flexible target earner. Preferred usage in spread_vertical. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 94.8, production 91.5, athletic 89.8, size 90.0, and context 89.2, with a risk penalty of 1.5. Unique differentiator: Separation Threat Index (88.66). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at WR. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Separation Threat Index	88.66	Alignment-flexible target earner	spread_vertical	22			
1	31	31	NE	NE		Blake Miller	OT	Clemson Tigers	79.51	Round 4-5	1	-0.015	7.22	6.89	formula_athletic_component	C Balanced	delta_-0.33	Pick 31: NE selects Blake Miller (OT, Clemson Tigers). Our model grades him at 79.51 with a Round 4-5 projection and projects his best early NFL path as 'Starting tackle with pass-pro floor' in a zone_power_hybrid environment. The player sits at consensus rank 51 (multi-board mean 43.2). Role fit: Starting tackle with pass-pro floor. Preferred usage in zone_power_hybrid. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 89.1, production 86.6, athletic 82.8, size 90.0, and context 84.2, with a risk penalty of 1.5. Unique differentiator: Pass-Set Stability Score (75.85). Historical combine comp: pending until more verified testing metrics are available. This directly addresses the club's top listed need at OT. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pass-Set Stability Score	75.85	Starting tackle with pass-pro floor	zone_power_hybrid	51			
1	32	32	SEA	SEA		Olaivavega Ioane	IOL	Penn State Nittany Lions	81.05	Round 2-3	1	0.0	6.75	6.76	formula_athletic_component	A Athlete-lean	delta_0.01	Pick 32: SEA selects Olaivavega Ioane (IOL, Penn State Nittany Lions). Our model grades him at 81.05 with a Round 2-3 projection and projects his best early NFL path as 'Starter with interior pocket-control value' in a inside_zone_gap environment. The player sits at consensus rank 26 (multi-board mean 15.75). Role fit: Starter with interior pocket-control value. Preferred usage in inside_zone_gap. Traits: leverage, processing, and role translation remain primary wins. His scoring profile is trait 92.8, production 90.6, athletic 87.3, size 90.0, and context 87.8, with a risk penalty of 1.5. Unique differentiator: Pocket Integrity Rate (84.89). Historical combine comp: pending until more verified testing metrics are available. This is a value-first board play rather than a strict top-need selection. Development checkpoints: consistency, role expansion pace, and matchup stress handling.	Pocket Integrity Rate	84.89	Starter with interior pocket-control value	inside_zone_gap	26			
