player_name,position,school,early_declare,source_url,source,pull_method,status,notes
A.J. Haulcy,DB,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aamil Wagner,OL,Notre Dame,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aaron Anderson,WR,LSU,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Adam Randall,RB,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ahmaad Moses,DB,SMU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ahmari Harvey,DB,Georgia Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aidan Hubbard,DL,Northwestern,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Aiden Fisher,LB,Indiana,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Akheem Mesidor,DL,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Alan Herron,OL,Maryland,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Albert Regis,DL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Alex Harkey,OL,Oregon,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Andre Fuller,DB,Toledo,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anez Cooper,OL,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anthony Hill Jr,LB,Texas,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Anthony Lucas,DL,USC,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Antonio Williams,WR,Clemson,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Ar'maj Reed-Adams,OL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Arvell Reese,LB,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Austin Barber,OL,Florida,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Avery Smith,DB,Toledo,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Avieon Terrell,DB,Clemson,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Barion Brown,WR,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bauer Sharp,TE,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Beau Stephens,OL,Iowa,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Behren Morton,QB,Texas Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Billy Schrauth,OL,Notre Dame,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bishop Fitzgerald,DB,USC,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Blake Miller,OL,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bobby Jamison-Travis,DL,Auburn,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brandon Cisse,DB,South Carolina,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brandon Cleveland,DL,N.C. State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brenen Thompson,WR,Mississippi State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brett Thorson,ST,Georgia,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Brian Parker II,OL,Duke,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryce Boettcher,LB,Oregon,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryce Lance,WR,North Dakota State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bryson Eason,DL,Tennessee,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Bud Clark,DB,TCU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Allen,LB,Georgia,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Daniels,WR,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
CJ Donaldson,RB,Ohio State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cade Klubnik,QB,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caden Curry,DL,Ohio State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Banks,DL,Florida,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Douglas,WR,Texas Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Downs,DB,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Lomu,OL,Utah,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caleb Tiernan,OL,Northwestern,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cameron Ball,DL,Arkansas,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Carnell Tate,WR,Ohio State,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Carson Beck,QB,Miami,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Carver Willis,OL,Washington,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cashius Howell,DL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Caullin Lacy,WR,Louisville,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chandler Rivers,DB,Duke,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Charles Demmings,DB,Stephen F. Austin,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chase Bisontis,OL,Texas A&M,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chase Roberts,WR,BYU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris Adams,OL,Memphis,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris Bell,WR,Louisville,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris Brazzell II,WR,Tennessee,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris Hilton Jr,WR,LSU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris Johnson,DB,San Diego State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Chris McClellan,DL,Missouri,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Christen Miller,DL,Georgia,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Colbie Young,WR,Georgia,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Cole Payton,QB,North Dakota State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Collin Wright,DB,Stanford,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Colton Hood,DB,Tennessee,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Connor Lew,OL,Auburn,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
DJ Campbell,OL,Texas,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
DJ Rogers,TE,TCU,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
DaeâQuan Wright,TE,Mississippi,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dallen Bentley,TE,Utah,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dalton Johnson,DB,Arizona,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dametrious Crownover,OL,Texas A&M,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Damonic Williams,DL,Oklahoma,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dani Dennis-Sutton,DL,Penn State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Darrell Jackson Jr,DL,Florida State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
David Bailey,DL,Texas Tech,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
David Gusta,DL,Kentucky,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Davison Igbinosun,DB,Ohio State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Daylen Everette,DB,Georgia,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
De'Zhaun Stribling,WR,Mississippi,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
DeMonte Capehart,DL,Clemson,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
DeShon Singleton,DB,Nebraska,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Deion Burks,WR,Oklahoma,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Demond Claiborne,RB,Wake Forest,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Denzel Boston,WR,Washington,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Deontae Lawson,LB,Alabama,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Derrick Moore,DL,Michigan,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Desmond Reid,RB,Pittsburgh,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Deven Eastern,DL,Minnesota,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Devin Moore,DB,Florida,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Diego Pavia,QB,Vanderbilt,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Diego Pounds,OL,Mississippi,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dillon Bell,WR,Georgia,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dillon Thieneman,DB,Oregon,1,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dillon Wade,OL,Auburn,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Domani Jackson,DB,Alabama,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dominic Zvada,ST,Michigan,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Domonique Orange,DL,Iowa State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Donaven McCulley,WR,Michigan,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Dontay Corleone,DL,Cincinnati,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
Drew Allar,QB,Penn State,0,https://www.nfl.com/news/nfl-combine-full-list-of-draft-prospects-invited-to-2026-scouting-event,nfl_combine_invite_2026,regex_text_extract,ok,
